length,width,height,weight,size,pixels,apple_chip,Mediatek-chip,Exynos-chip,Snapdragon-chip,Unisoc-chip,other-chip,number_of_cores,apple-gpu,Adreno-gpu,mali-gpu,PowerVR-gpu,IMG-gpu,other-gpu,internal_memory,ram,5g,module-no,image-resolution,ios,battery,battery-wat,price
164.6,75.9,8.5,190.0,6.5,270,0,0,0,0,1,0,8,0,0,1,0,0,0,128,6,0,3,50,0,5050,18.0,4830000
163.4,74.7,7.5,177.0,6.7,391,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,1,4,64,0,3220,2.5,5710000
161.8,75.3,8.9,190.0,6.5,405,0,1,0,0,0,0,8,0,0,0,0,0,1,128,6,1,3,48,0,5000,18.0,5450000
164.5,76.2,8.1,192.0,6.7,395,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,0,4,108,0,5020,33.0,6999000
163.0,76.0,8.0,185.0,6.7,385,0,0,0,1,0,0,8,0,1,0,0,0,0,256,12,1,3,108,0,4500,30.0,14700000
167.6,77.2,8.6,198.0,6.73,260,0,0,0,1,0,0,8,0,1,0,0,0,0,128,4,0,4,48,0,3220,2.5,4599000
164.2,76.1,8.1,202.0,6.67,395,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,1,4,108,0,5000,67.0,6450000
169.9,77.9,8.8,191.0,5.5,269,0,0,0,0,1,0,4,0,0,1,0,0,0,32,1,0,1,5,0,3000,20,1665000
161.8,75.3,8.9,190.0,6.5,405,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,1,3,48,0,5000,18.0,5060000
163.3,75.9,8.9,193.0,6.6,399,0,1,0,0,0,0,8,0,0,1,0,0,0,128,8,1,3,64,0,5000,67.0,8259000
164.2,76.1,8.1,202.0,6.67,395,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,1,3,108,0,5000,67.0,7255000
164.8,77.2,8.1,208.0,6.9,496,0,0,1,0,0,0,8,0,0,1,0,0,0,256,8,0,3,0,0,4500,25.0,26399000
165.0,77.4,8.4,203.0,6.7,394,0,0,0,1,0,0,8,0,1,0,0,0,0,128,8,0,4,64,0,5000,25.0,11840000
159.9,73.9,8.1,179.0,6.43,409,0,1,0,0,0,0,8,0,0,1,0,0,0,64,6,0,4,108,0,5000,33.0,5555000
164.2,75.9,9.1,211.0,6.5,270,0,0,0,0,1,0,8,0,0,0,0,1,0,32,2,0,1,8,0,5000,20,2609000
170.0,75.5,7.2,190.0,6.9,442,0,0,0,1,0,0,8,0,1,0,0,0,0,256,8,1,3,40,0,4000,40.0,37999000
162.5,76.7,8.5,210.0,6.67,395,0,0,0,1,0,0,8,0,1,0,0,0,0,256,12,1,3,64,0,4700,120.0,15999000
163.0,73.9,8.6,210.0,6.7,525,0,0,0,1,0,0,8,0,1,0,0,0,0,512,12,1,3,48,0,5000,80.0,32000000
111.0,49.5,14.4,70.0,1.8,111,0,1,0,0,0,0,1,0,0,0,0,0,1,0.004,0.004,0,0,0,0,800,20,520000
164.9,77.1,9.0,194.0,6.53,269,0,1,0,0,0,0,8,0,0,0,1,0,0,32,3,0,3,13,0,5000,10.0,3100000
164.8,75.5,8.5,184.0,6.5,270,0,0,0,0,1,0,8,0,0,1,0,0,0,32,2,0,2,13,0,3220,10.0,2535000
164.2,76.1,9.1,205.0,6.5,270,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,1,4,48,0,5000,15.0,5765000
163.7,76.4,7.8,196.0,6.67,395,0,0,0,1,0,0,8,0,1,0,0,0,0,256,12,1,3,48,0,4520,33.0,12300000
157.4,76.0,7.58,195.0,6.6,393,0,0,0,1,0,0,8,0,1,0,0,0,0,128,8,1,3,50,0,4500,45.0,32499000
160.8,78.1,7.7,240.0,6.7,458,1,0,0,0,0,0,6,1,0,0,0,0,0,128,6,1,4,12,1,3220,20.0,53800000
138.4,67.3,7.3,148.0,4.7,326,1,0,0,0,0,0,6,1,0,0,0,0,0,128,3,0,1,12,1,1821,18.0,15300000
160.5,74.5,8.3,178.8,5.5,409,0,1,0,0,0,0,8,0,0,1,0,0,0,128,8,1,4,64,0,5000,33.0,5900000
162.3,77.3,9.6,198.0,6.53,395,0,0,0,1,0,0,8,0,1,0,0,0,0,64,4,1,3,48,0,6000,18.0,4600000
160.5,75.7,6.8,159.0,6.55,402,0,0,0,1,0,0,8,0,1,0,0,0,0,128,8,1,3,64,0,4250,33.0,8310000
169.7,75.9,9.6,212.0,6.8,395,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,0,4,64,0,5000,50.0,5969000
163.5,76.5,9.0,197.0,6.63,397,0,1,0,0,0,0,8,0,0,1,0,0,0,128,8,0,4,64,0,3220,20,6100000
164.0,75.8,8.9,205.0,6.5,270,0,0,1,0,0,0,8,0,0,1,0,0,0,128,6,0,4,48,0,3220,15.0,5500000
159.3,73.6,8.4,186.0,6.4,274,0,1,0,0,0,0,8,0,0,1,0,0,0,128,4,0,4,48,0,3220,15.0,5499000
164.0,76.5,8.1,193.0,6.67,395,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,0,4,108,0,5020,33.0,6580000
164.2,75.9,9.1,196.0,6.5,270,0,1,0,0,0,0,8,0,0,0,1,0,0,32,3,1,3,13,0,3220,15.0,3359000
164.0,75.9,9.7,212.0,6.5,270,0,0,1,0,0,0,8,0,0,1,0,0,0,128,6,0,4,48,0,3220,15.0,4850000
159.2,73.5,8.0,174.0,6.43,409,0,0,0,1,0,0,8,0,1,0,0,0,0,256,8,1,3,64,0,3220,65.0,8000000
159.3,73.6,8.4,186.0,6.4,274,0,1,0,0,0,0,8,0,0,1,0,0,0,64,4,0,4,48,0,3220,15.0,4729000
161.6,75.2,8.3,192.0,6.7,393,0,0,1,0,0,0,8,0,0,1,0,0,0,256,8,1,3,64,0,4300,25.0,25359000
161.9,74.7,8.6,190.0,6.67,391,0,0,0,1,0,0,8,0,1,0,0,0,0,128,8,0,4,64,0,4300,66.0,7060000
162.0,75.5,8.9,181.0,6.5,405,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,0,4,50,0,5000,18.0,4599000
164.9,77.0,9.0,196.0,6.53,269,0,1,0,0,0,0,4,0,0,0,1,0,0,64,3,1,3,13,0,5000,10.0,3249000
160.8,78.1,7.7,240.0,6.7,458,1,0,0,0,0,0,6,1,0,0,0,0,0,512,6,1,4,12,1,3220,20.0,66990000
157.9,74.0,8.9,120.0,6.09,282,0,0,0,0,1,0,8,0,0,0,1,0,0,64,3,0,3,13,0,3500,20,2690000
163.0,76.0,7.0,163.0,6.7,385,0,0,0,1,0,0,8,0,1,0,0,0,0,128,8,1,3,108,0,4000,30.0,11300000
167.2,76.4,9.0,203.0,6.6,399,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,1,3,48,0,5000,15.0,5990000
164.9,76.0,9.2,197.0,5.5,269,0,1,0,0,0,0,8,0,0,0,1,0,0,128,4,0,4,48,0,5050,10.0,4230000
163.7,76.4,7.8,196.0,6.67,395,0,0,0,1,0,0,8,0,1,0,0,0,0,256,8,1,3,108,0,4520,33.0,15800000
170.5,76.5,9.1,208.0,6.8,387,0,0,0,1,0,0,8,0,1,0,0,0,0,128,4,1,3,50,0,5000,20,5300000
164.0,76.5,8.1,193.0,6.67,395,0,0,0,1,0,0,8,0,1,0,0,0,0,64,6,0,4,108,0,5020,33.0,5979000
159.3,73.6,8.4,186.0,6.4,274,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,0,4,48,0,3220,15.0,5880000
164.2,75.9,9.1,196.0,6.5,270,0,0,0,0,0,1,8,0,0,0,0,0,1,64,4,0,2,48,0,5000,20,3570000
148.0,71.8,9.3,154.0,5.45,295,0,0,0,0,1,0,4,0,0,1,0,0,0,16,1,0,1,5,0,3220,20,1461000
160.5,75.7,6.8,159.0,6.55,402,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,1,3,64,0,4250,33.0,7690000
169.6,76.6,8.3,190.0,6.71,268,0,0,0,1,0,0,8,0,1,0,0,0,0,128,4,0,2,50,0,5000,18.0,4050000
132.0,50.5,15.0,91.0,2.4,167,0,0,0,0,0,1,1,0,0,0,0,0,1,0.004,5,0,1,0,0,1020,20,939000
123.7,52.4,13.1,88.2,2.4,167,0,1,0,0,0,0,1,0,0,0,0,0,1,16,0.008,0,1,0,0,3220,20,1280000
165.5,77.6,8.95,120.0,5.5,300,0,0,0,0,1,0,8,0,0,0,1,0,0,64,4,0,4,13,0,4000,20,3050000
166.0,72.2,6.9,183.0,6.7,300,0,0,0,0,0,1,8,0,0,0,0,0,1,256,8,1,2,12,0,3300,20,31300000
167.2,76.4,9.0,203.0,6.6,399,0,1,0,0,0,0,8,0,0,1,0,0,0,128,8,1,3,48,0,5000,15.0,6785000
132.0,50.5,15.0,91.3,2.4,167,0,0,0,0,0,1,1,0,0,0,0,0,1,0.004,5,0,0,0,0,1020,20,745000
165.8,76.7,8.8,209.0,6.6,395,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,0,4,48,0,3220,20,6949000
159.9,73.9,8.1,179.0,6.43,409,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,0,4,108,0,5000,33.0,6220000
115.6,51.0,12.8,79.0,2.4,167,0,0,0,0,0,1,1,0,0,0,0,0,1,16,5,0,1,2,0,1200,20,1380000
158.5,73.6,7.9,172.0,6.5,405,0,0,1,0,0,0,8,0,0,1,0,0,0,128,6,0,4,48,0,3220,15.0,8499000
164.9,77.1,9.0,194.0,6.53,269,0,1,0,0,0,0,8,0,0,0,1,0,0,64,4,0,3,13,0,5000,10.0,3570000
172.8,78.3,7.8,209.0,6.95,387,0,1,0,0,0,0,8,0,0,1,0,0,0,256,8,0,4,64,0,5000,33.0,7120000
159.9,73.9,8.1,179.0,6.43,409,0,0,0,1,0,0,8,0,1,0,0,0,0,64,4,0,4,50,0,5000,33.0,4780000
164.2,76.1,8.1,202.0,6.67,395,0,1,0,0,0,0,8,0,0,1,0,0,0,64,6,0,4,108,0,5000,67.0,6572160
146.0,76.0,7.06,167.0,6.1,425,0,0,1,0,0,0,8,0,0,0,0,0,0,256,8,1,3,0,0,3700,25.0,32434860
164.9,76.0,9.2,194.0,5.5,269,0,1,0,0,0,0,4,0,0,0,1,0,0,64,4,0,3,13,0,5050,10.0,3399000
177.7,79.1,9.9,237.0,6.82,257,0,0,0,0,1,0,8,0,0,0,0,1,0,64,3,0,2,13,0,6000,10.0,2999000
164.9,77.1,9.0,194.0,6.53,269,0,1,0,0,0,0,8,0,0,0,1,0,0,64,4,0,2,13,0,5000,20,3580000
159.2,73.5,7.9,170.0,6.43,410,0,0,0,1,0,0,8,0,1,0,0,0,0,256,12,1,3,64,0,4500,33.0,11364000
159.9,73.9,8.1,179.0,6.43,409,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,0,4,108,0,5000,33.0,5950000
165.4,76.9,9.4,198.0,6.6,400,0,0,1,0,0,0,8,0,0,1,0,0,0,128,8,1,4,50,0,5000,25.0,7950000
169.5,74.5,10.9,260.0,6.6,395,0,0,0,1,0,0,8,0,1,0,0,0,0,128,8,1,4,48,0,4000,13.0,23900000
107.2,47.0,14.6,64.0,1.77,116,0,0,0,0,1,0,1,0,0,0,0,0,1,32,0.032,0,1,0.08,0,3220,20,326100
158.3,75.3,8.4,190.0,6.3,409,0,1,0,0,0,0,8,0,0,1,0,0,0,64,4,0,4,48,0,4000,18.0,5160000
165.26,76.02,9.2,185.0,6.6,300,0,1,0,0,0,0,4,0,0,0,1,1,0,64,4,0,3,13,0,5000,20,4400000
160.5,74.5,8.3,178.8,6.4,409,0,1,0,0,0,0,8,0,0,1,0,0,0,64,6,0,4,64,0,5000,33.0,4850000
